time_fs,pop_1,pop_2,pop_3,coherence
1.082164328657314485e+02,3.709948762610738582e-01,2.972774417591985130e-01,3.317276819797280729e-01,1.993879577751012988e+00
1.092184368737474784e+02,2.619678799189929519e-01,2.267947439578332225e-01,5.112373761231742142e-01,1.900434996075168748e+00
1.102204408817635084e+02,5.215452385847535455e-01,2.754259698778431797e-01,2.030287915374036911e-01,1.881772651091499382e+00
1.112224448897795526e+02,9.402804493815333231e-01,5.533613744902209780e-02,4.383413169445216605e-03,6.157569480356258618e-01
1.122244488977955825e+02,8.779013518100806657e-01,6.669392711474067537e-02,5.540472107517946387e-02,1.046609635236724678e+00
1.132264529058116125e+02,4.579606380624965944e-01,2.195336111492089681e-01,3.225057507882950758e-01,1.934944351497223991e+00
1.142284569138276424e+02,2.797518250178183119e-01,2.181721697430377971e-01,5.020760052391443073e-01,1.905586032756953152e+00
1.152304609218436724e+02,4.387314035408483859e-01,3.640018051613135852e-01,1.972667912978384730e-01,1.923555942674407770e+00
1.162324649298597024e+02,8.269982681429781657e-01,1.694252401085893367e-01,3.576491748433105640e-03,9.066395757845189252e-01
1.172344689378757323e+02,8.893454430269559507e-01,6.705370029713081381e-03,1.039491869433316201e-01,8.153492650888699567e-01
1.182364729458917765e+02,5.608525317367276664e-01,1.276092346844519831e-01,3.115382335788209889e-01,1.769832351137956117e+00
1.192384769539078064e+02,3.802493575257289149e-01,1.634093814257660537e-01,4.563412610485055865e-01,1.877817883469659055e+00
1.202404809619238364e+02,4.225049949462048038e-01,3.940445482174046443e-01,1.834504568363907462e-01,1.910588477977081645e+00
1.212424849699398663e+02,6.779449551158065468e-01,3.047868456630979384e-01,1.726819922109610120e-02,1.270620082513195470e+00
1.222444889779558963e+02,8.081119778950248689e-01,1.842128771268490561e-02,1.734667343922908500e-01,1.105891205345084227e+00
1.232464929859719263e+02,6.276972897910058080e-01,5.973969610734607139e-02,3.125630141016486618e-01,1.546462427758373837e+00
1.242484969939879562e+02,5.278711574112492366e-01,8.787266174924104889e-02,3.842561808395102418e-01,1.699004297148082987e+00
1.252505010020040004e+02,4.934449364084015355e-01,3.516895139022966355e-01,1.548655496893021344e-01,1.852788975237869451e+00
1.262525050100200303e+02,5.514443535892734616e-01,4.132684835073438534e-01,3.528716290338299727e-02,1.475277245106893620e+00
1.272545090180360603e+02,6.578687204328808047e-01,8.845747553702183741e-02,2.536738040300977604e-01,1.599090458622953292e+00
