Time_fs,Coherence_l1,QFI,Entropy_VN,Purity,Linear_Entropy,Bipartite_Entanglement,Multipartite_Entanglement,Pop_Site_1,Pop_Site_2,Pop_Site_3,Pop_Site_4,Pop_Site_5,Pop_Site_6,Pop_Site_7
4.40000000e+01,1.85060820e+00,2.92779509e+04,1.78685498e-02,9.95075606e-01,5.74512658e-03,1.69956742e-02,1.36334468e-02,6.62564422e-01,3.17106666e-01,5.91073459e-03,2.61285187e-03,3.63319064e-03,5.53421704e-03,2.63791831e-03
4.50000000e+01,1.87636088e+00,2.92271109e+04,1.83478297e-02,9.94923112e-01,5.92303553e-03,1.74666286e-02,1.40141314e-02,6.51412916e-01,3.27540702e-01,6.29052998e-03,2.72773589e-03,3.79926855e-03,5.56961390e-03,2.65923363e-03
4.60000000e+01,1.89890461e+00,2.89290301e+04,1.89738802e-02,9.94725620e-01,6.15344313e-03,1.80844974e-02,1.45018509e-02,6.42039639e-01,3.36216809e-01,6.67530558e-03,2.83928384e-03,3.95462858e-03,5.61289935e-03,2.66143475e-03
4.70000000e+01,1.92250078e+00,2.89076957e+04,1.95756682e-02,9.94537443e-01,6.37298340e-03,1.86096426e-02,1.49310098e-02,6.30398580e-01,3.47159298e-01,7.04784767e-03,2.95614948e-03,4.12643419e-03,5.63884706e-03,2.67284356e-03
4.80000000e+01,1.94353795e+00,2.87136390e+04,1.93426155e-02,9.94630432e-01,6.26449587e-03,1.83240707e-02,1.46974185e-02,6.20924285e-01,3.55946577e-01,7.42552272e-03,3.06933340e-03,4.30621247e-03,5.66205708e-03,2.66601220e-03
4.90000000e+01,1.96199579e+00,2.86507579e+04,1.84831834e-02,9.94927030e-01,5.91846477e-03,1.73913071e-02,1.39525173e-02,6.11871795e-01,3.64410493e-01,7.77066990e-03,3.17573848e-03,4.48608539e-03,5.61809374e-03,2.66712430e-03
5.00000000e+01,1.98133783e+00,2.82544784e+04,1.89367192e-02,9.94785471e-01,6.08361676e-03,1.78116219e-02,1.43023726e-02,6.01758866e-01,3.73852493e-01,8.19074064e-03,3.28278374e-03,4.66962873e-03,5.57901539e-03,2.66647298e-03
5.10000000e+01,1.99829475e+00,2.83491640e+04,1.95454564e-02,9.94599547e-01,6.30052894e-03,1.83470854e-02,1.47388637e-02,5.89985824e-01,3.85070182e-01,8.55046851e-03,3.40292617e-03,4.81826554e-03,5.52283575e-03,2.64949782e-03
5.20000000e+01,2.01799272e+00,2.82869948e+04,2.17785060e-02,9.93862985e-01,7.15985087e-03,2.05589119e-02,1.65028775e-02,5.77684552e-01,3.96618375e-01,8.97526367e-03,3.52521164e-03,5.01073487e-03,5.52323048e-03,2.66263257e-03
5.30000000e+01,2.03458383e+00,2.80773548e+04,2.27747540e-02,9.93520447e-01,7.55947806e-03,2.15680824e-02,1.73143819e-02,5.67696864e-01,4.05928494e-01,9.37531055e-03,3.64284467e-03,5.20658994e-03,5.50698337e-03,2.64291390e-03
5.40000000e+01,2.04933362e+00,2.79669539e+04,2.42637852e-02,9.93016032e-01,8.14796214e-03,2.30315044e-02,1.84806572e-02,5.56575217e-01,4.16411278e-01,9.81832001e-03,3.75235834e-03,5.37788729e-03,5.44018333e-03,2.62475576e-03
5.50000000e+01,2.06560704e+00,2.77868311e+04,2.43993665e-02,9.92986383e-01,8.18255324e-03,2.31389804e-02,1.85571605e-02,5.46505041e-01,4.25741198e-01,1.02974256e-02,3.88645020e-03,5.57609450e-03,5.38110778e-03,2.61268283e-03
