time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_L9,pop_site1_L11
5.0000000000e+01,3.6909787584e-01,5.4474270299e-01,2.3887390976e-02,9.0377006988e-03,4.4000505879e-02,5.5999283450e-03,3.6338952660e-03,2.7639913310e+00,3.6909787584e-01,3.6909787584e-01
5.2000000000e+01,4.6116294874e-01,4.7154711768e-01,1.8620430520e-02,3.4876357310e-03,3.8620514699e-02,6.1168883585e-03,4.4446426735e-04,2.4488555982e+00,4.6116294874e-01,4.6116294874e-01
5.4000000000e+01,9.2887634798e-01,4.7893667254e-02,2.0611285720e-03,6.6547351025e-04,2.0246921108e-03,1.2346586644e-02,6.1321039250e-03,1.2148716460e+00,9.2887634798e-01,9.2887634798e-01
5.6000000000e+01,8.1969856521e-01,1.5108147005e-01,4.9201044014e-03,2.9649815500e-03,1.4446111782e-02,5.5968475493e-04,6.3290822475e-03,1.6963752428e+00,8.1969856521e-01,8.1969856521e-01
5.8000000000e+01,3.4082715408e-01,5.8053149186e-01,2.0273548971e-02,1.2820388446e-02,3.6243315660e-02,7.1369427050e-03,2.1671582806e-03,2.6969772732e+00,3.4082715408e-01,3.4082715408e-01
6.0000000000e+01,4.8824808209e-01,4.3923741038e-01,1.6923889607e-02,1.4967861899e-02,3.3970082902e-02,6.2694886110e-03,3.8318451279e-04,2.5985991653e+00,4.8824808209e-01,4.8824808209e-01
6.2000000000e+01,9.5165543918e-01,2.3353763156e-02,1.6438953706e-03,5.2986281158e-03,1.3670406094e-02,2.2336842008e-03,2.1441838808e-03,1.1088036256e+00,9.5165543918e-01,9.5165543918e-01
6.4000000000e+01,7.6381750258e-01,1.9951974407e-01,5.9771830598e-03,1.0916124096e-04,7.8932306658e-03,1.6275783933e-02,6.4073944468e-03,1.9065809398e+00,7.6381750258e-01,7.6381750258e-01
6.6000000000e+01,3.3010144369e-01,5.8395770178e-01,2.3754268719e-02,4.3652146255e-03,4.9544333067e-02,6.7794267275e-03,1.4976113989e-03,2.6196264773e+00,3.3010144369e-01,3.3010144369e-01
6.8000000000e+01,5.2805140110e-01,3.8022765196e-01,2.3531558124e-02,1.4210120720e-02,4.7845769451e-02,4.0206746722e-03,2.1128239709e-03,2.7791931321e+00,5.2805140110e-01,5.2805140110e-01
7.0000000000e+01,9.3239023393e-01,9.8433501010e-03,8.1453351955e-03,1.6499832530e-02,3.6881239421e-03,2.1002086311e-02,8.4310379923e-03,1.4995356371e+00,9.3239023393e-01,9.3239023393e-01
7.2000000000e+01,7.2717007256e-01,2.3262255778e-01,7.7841667395e-03,6.5096043154e-03,1.1129973802e-02,9.0208019688e-03,5.7628228354e-03,2.1696538865e+00,7.2717007256e-01,7.2717007256e-01
7.4000000000e+01,3.3184550167e-01,6.1071337144e-01,2.4589154625e-02,4.1087669190e-03,2.1713074752e-02,5.4516912822e-03,1.5784393151e-03,2.3832802547e+00,3.3184550167e-01,3.3184550167e-01
7.6000000000e+01,5.6348282509e-01,3.6854231471e-01,3.1440383376e-02,1.2410589352e-02,9.2139251983e-03,1.4659250498e-02,2.5071177641e-04,2.5319468184e+00,5.6348282509e-01,5.6348282509e-01
7.8000000000e+01,9.4345400691e-01,3.3796409870e-03,2.1304088527e-02,1.5654437622e-02,7.6608416292e-03,3.1969785971e-03,5.3500057303e-03,1.3035316128e+00,9.4345400691e-01,9.4345400691e-01
8.0000000000e+01,6.6400941460e-01,2.9147691332e-01,1.3835866290e-02,1.2626109721e-02,7.1251026615e-03,5.5040586769e-03,5.4225347337e-03,2.3014279433e+00,6.6400941460e-01,6.6400941460e-01
